Virus name	Accession ID	Collection date	Location	Host	Passage	Specimen	Additional host information	Sequencing technology	Assembly method	Comment	Comment type	Lineage	Clade
hCoV-19/Nigeria/NCDC-FCT-5G/2021	EPI_ISL_1073139	2021-01-28	Africa / Nigeria / Federal Capital Territory	Human	Original	Nasopharyngeal and oropharyngeal swab		Nanopore MinION		Stretches of NNNs (4.58% of overall sequence). NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	warn	B.1.1.7	GRY
hCoV-19/Nigeria/NCDC-FCT-10G/2021	EPI_ISL_1073639	2021-02-03	Africa / Nigeria / Federal Capital Territory	Human	Original	Nasopharyngeal and oropharyngeal swab		Nanopore MinION		Stretches of NNNs (3.64% of overall sequence). Gap of 73 nucleotides when compared to the reference sequence.	warn	B.1.525	G
hCoV-19/Nigeria/CV733/2021	EPI_ISL_1093431	2021-01-04	Africa / Nigeria / Edo State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	Stretches of NNNs (2.52% of overall sequence). Gap of 18 nucleotides when compared to the reference sequence.	warn	B.1.525	G
hCoV-19/Nigeria/CV725/2020	EPI_ISL_1093432	2020-12-28	Africa / Nigeria / Edo State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	Stretches of NNNs (1.42% of overall sequence). Gap of 64 nucleotides when compared to the reference sequence.	warn	B.1.525	G
hCoV-19/Nigeria/CV748/2021	EPI_ISL_1093433	2021-01-07	Africa / Nigeria / Oyo State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	Stretches of NNNs (1.30% of overall sequence). NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	warn	B.1.1.7	GRY
hCoV-19/Nigeria/CV759/2021	EPI_ISL_1093434	2021-01-10	Africa / Nigeria / Oyo State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	Stretches of NNNs (1.15% of overall sequence). NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 13 nucleotides when compared to the reference sequence.	warn	B.1.1.7	GR
hCoV-19/Nigeria/CV712/2020	EPI_ISL_1093435	2020-12-30	Africa / Nigeria / Edo State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Nigeria/CV716/2020	EPI_ISL_1093436	2020-12-28	Africa / Nigeria / Edo State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Nigeria/CV757/2021	EPI_ISL_1093437	2021-01-10	Africa / Nigeria / Oyo State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Nigeria/CV764/2021	EPI_ISL_1093438	2021-01-14	Africa / Nigeria / Oyo State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Nigeria/CV768/2021	EPI_ISL_1093439	2021-01-14	Africa / Nigeria / Oyo State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Nigeria/CV734/2021	EPI_ISL_1093440	2021-01-03	Africa / Nigeria / Edo State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Nigeria/CV737/2021	EPI_ISL_1093441	2021-01-01	Africa / Nigeria / Edo State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Nigeria/CV740/2021	EPI_ISL_1093442	2021-01-07	Africa / Nigeria / Oyo State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Nigeria/CV741/2021	EPI_ISL_1093443	2021-01-07	Africa / Nigeria / Oyo State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Nigeria/CV743/2021	EPI_ISL_1093444	2021-01-08	Africa / Nigeria / Oyo State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Nigeria/CV744/2021	EPI_ISL_1093445	2021-01-08	Africa / Nigeria / Oyo State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Nigeria/CV745/2021	EPI_ISL_1093446	2021-01-08	Africa / Nigeria / Oyo State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Nigeria/CV750/2021	EPI_ISL_1093447	2021-01-07	Africa / Nigeria / Oyo State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Nigeria/CV753/2021	EPI_ISL_1093448	2021-01-07	Africa / Nigeria / Oyo State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Nigeria/CV763/2021	EPI_ISL_1093462	2021-01-14	Africa / Nigeria / Oyo State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	Gap of 73 nucleotides when compared to the reference sequence.	warn	B.1.525	G
hCoV-19/Nigeria/CV736/2021	EPI_ISL_1093463	2021-01-05	Africa / Nigeria / Edo State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	Gap of 73 nucleotides when compared to the reference sequence.	warn	B.1.525	G
hCoV-19/Nigeria/CV751/2021	EPI_ISL_1093464	2021-01-07	Africa / Nigeria / Oyo State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	Gap of 73 nucleotides when compared to the reference sequence.	warn	B.1.525	G
hCoV-19/Nigeria/CV714/2020	EPI_ISL_1093465	2020	Africa / Nigeria / Edo State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV719/2021	EPI_ISL_1093466	2021-01-02	Africa / Nigeria / Edo State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV727/2020	EPI_ISL_1093467	2020-12-29	Africa / Nigeria / Edo State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV728/2020	EPI_ISL_1093468	2020-12-27	Africa / Nigeria / Edo State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV729/2021	EPI_ISL_1093469	2021-01-02	Africa / Nigeria / Edo State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV731/2021	EPI_ISL_1093470	2021-01-02	Africa / Nigeria / Edo State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV732/2021	EPI_ISL_1093471	2021-01-03	Africa / Nigeria / Edo State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV735/2021	EPI_ISL_1093472	2021-01-05	Africa / Nigeria / Edo State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV739/2021	EPI_ISL_1093473	2021-01-05	Africa / Nigeria / Edo State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	Gap of 21 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV717/2020	EPI_ISL_1093474	2020-12-31	Africa / Nigeria / Edo State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18			L.3	GR
hCoV-19/Nigeria/CV723/2021	EPI_ISL_1093475	2021-01-03	Africa / Nigeria / Edo State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18			L.3	GR
hCoV-19/Nigeria/CV724/2020	EPI_ISL_1093476	2020-12-31	Africa / Nigeria / Edo State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18			B.1.1.487	GR
hCoV-19/Nigeria/CV771/2021	EPI_ISL_1173207	2021-01-12	Africa / Nigeria / Ebonyi State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Viral-ngs v2.1.18	Stretches of NNNs (2.28% of overall sequence). Gap of 21 nucleotides when compared to the reference sequence.	warn	B.1.525	G
hCoV-19/Nigeria/CV772/2021	EPI_ISL_1173208	2021-01-12	Africa / Nigeria / Ebonyi State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Viral-ngs v2.1.18	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Nigeria/CV773/2021	EPI_ISL_1173209	2021-01-13	Africa / Nigeria / Ebonyi State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Viral-ngs v2.1.18	Gap of 1 nucleotide(s) found at refpos 28254 (FRAMESHIFT confirmed). Gap of 25 nucleotides when compared to the reference sequence.	warn	B.1.525	G
hCoV-19/Nigeria/CV774/2021	EPI_ISL_1173210	2021-01-13	Africa / Nigeria / Ebonyi State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Viral-ngs v2.1.18	Stretches of NNNs (4.45% of overall sequence). Gap of 24 nucleotides when compared to the reference sequence.	warn	B.1.525	G
hCoV-19/Nigeria/CV776/2021	EPI_ISL_1173211	2021-01-13	Africa / Nigeria / Ebonyi State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Viral-ngs v2.1.18	Stretches of NNNs (1.00% of overall sequence). Gap of 24 nucleotides when compared to the reference sequence.	warn	B.1.525	G
hCoV-19/Nigeria/CV777/2021	EPI_ISL_1173212	2021-01-14	Africa / Nigeria / Ebonyi State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Viral-ngs v2.1.18	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV779/2021	EPI_ISL_1173213	2021-01-07	Africa / Nigeria / Ebonyi State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Viral-ngs v2.1.18	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV780/2021	EPI_ISL_1173214	2021-01-07	Africa / Nigeria / Ebonyi State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Viral-ngs v2.1.18	Stretches of NNNs (1.77% of overall sequence).	warn	L.3	GR
hCoV-19/Nigeria/CV781/2021	EPI_ISL_1173215	2021-01-15	Africa / Nigeria / Ebonyi State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Viral-ngs v2.1.18	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV783/2021	EPI_ISL_1173217	2021-01-15	Africa / Nigeria / Ebonyi State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Viral-ngs v2.1.18	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Nigeria/CV789/2021	EPI_ISL_1173219	2021-01-08	Africa / Nigeria / Ebonyi State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Viral-ngs v2.1.18	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV790/2021	EPI_ISL_1173220	2021-01-15	Africa / Nigeria / Ebonyi State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Viral-ngs v2.1.18	Stretches of NNNs (1.73% of overall sequence). NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 10 nucleotides when compared to the reference sequence.	warn	B.1.1.7	GRY
hCoV-19/Nigeria/CV791/2021	EPI_ISL_1173221	2021-01-19	Africa / Nigeria / Ebonyi State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Viral-ngs v2.1.18			L.3	GR
hCoV-19/Nigeria/CV792/2021	EPI_ISL_1173222	2021-01-19	Africa / Nigeria / Ebonyi State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Viral-ngs v2.1.18	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV793/2021	EPI_ISL_1173223	2021-01-19	Africa / Nigeria / Ebonyi State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Viral-ngs v2.1.18	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV794/2021	EPI_ISL_1173224	2021-01-19	Africa / Nigeria / Ebonyi State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Viral-ngs v2.1.18	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV795/2021	EPI_ISL_1173225	2021-01-20	Africa / Nigeria / Ebonyi State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Viral-ngs v2.1.18	NS8_E106stop results in 13.2% truncation of the protein sequence. Gap of 30 nucleotides when compared to the reference sequence.	warn	B.1.1.318	GR
hCoV-19/Nigeria/CV796/2021	EPI_ISL_1173226	2021-01-20	Africa / Nigeria / Ebonyi State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Viral-ngs v2.1.18	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV802/2021	EPI_ISL_1173227	2021-01-19	Africa / Nigeria / Osun State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Viral-ngs v2.1.18	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Nigeria/CV830/2021	EPI_ISL_1173229	2021-01-25	Africa / Nigeria / Osun State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Viral-ngs v2.1.18	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Nigeria/CV832/2021	EPI_ISL_1173230	2021-01-25	Africa / Nigeria / Osun State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Viral-ngs v2.1.18	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Nigeria/CV836/2021	EPI_ISL_1173233	2021-01-26	Africa / Nigeria / Osun State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Viral-ngs v2.1.18	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV838/2021	EPI_ISL_1173235	2021-01-27	Africa / Nigeria / Osun State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Viral-ngs v2.1.18	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV839/2021	EPI_ISL_1173236	2021-01-27	Africa / Nigeria / Osun State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Viral-ngs v2.1.18	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV840/2021	EPI_ISL_1173237	2021-01-27	Africa / Nigeria / Osun State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Viral-ngs v2.1.18	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV842/2021	EPI_ISL_1173239	2021-01-21	Africa / Nigeria / Ebonyi State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Viral-ngs v2.1.18	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV809/2021	EPI_ISL_1173240	2021-01-20	Africa / Nigeria / Osun State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Viral-ngs v2.1.18	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Nigeria/CV816/2021	EPI_ISL_1173243	2021-01-22	Africa / Nigeria / Osun State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Viral-ngs v2.1.18	Gap of 4 nucleotide(s) found at refpos 26158 (FRAMESHIFT confirmed). Gap of 7 nucleotides when compared to the reference sequence. NS3 without BLAST coverage.	info	A	S
hCoV-19/Nigeria/CV820/2021	EPI_ISL_1173244	2021-01-22	Africa / Nigeria / Osun State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	Viral-ngs v2.1.18	NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	info	B.1.1.7	GRY
hCoV-19/Nigeria/NCDC-FCT-1i/2021	EPI_ISL_1197041	2021-01-25	Africa / Nigeria / Abuja	Human	Original	Nasopharyngeal and oropharyngeal swab		Nanopore MinION		Stretches of NNNs (2.74% of overall sequence). Gap of 73 nucleotides when compared to the reference sequence.	warn	B.1.525	G
hCoV-19/Nigeria/NCDC-FCT-2i/2021	EPI_ISL_1197062	2021-01-25	Africa / Nigeria / Abuja	Human	Original	Nasopharyngeal and oropharyngeal swab		Nanopore MinION		Gap of 73 nucleotides when compared to the reference sequence.	warn	B.1.525	G
hCoV-19/Nigeria/NCDC-FCT-3i/2021	EPI_ISL_1197063	2021-01-25	Africa / Nigeria / Abuja	Human	Original	Nasopharyngeal and oropharyngeal swab		Nanopore MinION		Gap of 1 nucleotide(s) found at refpos 26305 (FRAMESHIFT confirmed by submitter). Gap of 74 nucleotides when compared to the reference sequence. E without BLAST coverage.	warn	B.1.525	G
hCoV-19/Nigeria/NCDC-FCT-4i/2021	EPI_ISL_1197064	2021-02-05	Africa / Nigeria / Abuja	Human	Original	Nasopharyngeal and oropharyngeal swab		Nanopore MinION		Gap of 73 nucleotides when compared to the reference sequence.	warn	B.1.525	G
hCoV-19/Nigeria/NCDC-FCT-5i/2021	EPI_ISL_1197065	2021-02-05	Africa / Nigeria / Abuja	Human	Original	Nasopharyngeal and oropharyngeal swab		Nanopore MinION		Stretches of NNNs (4.57% of overall sequence). Gap of 3 nucleotides when compared to the reference sequence.	warn	L.3	GR
hCoV-19/Nigeria/NCDC-FCT-7i/2021	EPI_ISL_1197129	2021-02-07	Africa / Nigeria / Abuja	Human	Original			Nanopore MinION		Stretches of NNNs (4.54% of overall sequence). Gap of 1 nucleotide(s) found at refpos 26305 (FRAMESHIFT confirmed by submitter). Gap of 74 nucleotides when compared to the reference sequence. E without BLAST coverage.	warn	B.1.525	G
hCoV-19/Nigeria/NCDC-FCT-9i/2021	EPI_ISL_1197150	2021-02-08	Africa / Nigeria / Abuja	Human	Original	Nasopharyngeal and oropharyngeal swab		Nanopore MinION		Gap of 73 nucleotides when compared to the reference sequence.	warn	B.1.525	G
hCoV-19/Nigeria/NCDC-FCT-10i/2021	EPI_ISL_1197933	2021-02-08	Africa / Nigeria / Abuja	Human	Original	Nasopharyngeal and oropharyngeal swab		Nanopore MinION		Gap of 73 nucleotides when compared to the reference sequence.	warn	B.1.525	G
hCoV-19/Nigeria/NCDC-FCT-11i/2021	EPI_ISL_1198006	2021-02-08	Africa / Nigeria / Abuja	Human	Original			Nanopore MinION		Stretches of NNNs (3.60% of overall sequence). Gap of 73 nucleotides when compared to the reference sequence.	warn	B.1.525	G
hCoV-19/Nigeria/CV844/2021	EPI_ISL_1235642	2021-01-08	Africa / Nigeria / Ebonyi State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV845/2021	EPI_ISL_1235643	2021-01-23	Africa / Nigeria / Ebonyi State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV849/2021	EPI_ISL_1235646	2021-01-25	Africa / Nigeria / Ebonyi State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	Stretches of NNNs (1.88% of overall sequence).	warn	L.3	GR
hCoV-19/Nigeria/CV850/2021	EPI_ISL_1235647	2021-01-25	Africa / Nigeria / Ebonyi State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	Gap of 15 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV852/2021	EPI_ISL_1235648	2021-01-26	Africa / Nigeria / Ebonyi State	Human	Original	Nasopharyngeal swab		Illumina MiSeq	viral-ngs v2.1.18	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
